,이름,영문이름,종류,나라,생산지,제조사,알코올도수,포도품종,가격,평점,주소
22,루이 라뚜르 샤르도네,LOUIS LATOUR CHARDONNAY,White,프랑스,부르고뉴,루이 라뚜르,13%,샤르도네 (Chardonnay) 100%,"35,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=492
23,리틀 뷰티 소비뇽 블랑,LITTLE BEAUTY SAUVIGNON BLANC,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,13.6%,소비뇽 블랑 (Sauvignon Blanc) 100%,"49,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1226
24,산타 크리스티나,SANTA CRISTINA ROSSO IGT,Red,이탈리아,토스카나,산타 크리스티나,13%,"산지오베제(Sangiovese) 60%, 까베르네 소비뇽(Cabernet Sauvignon),메를로(Merot), 시라(Syrah) 40%","19,900원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=799
25,캔달잭슨 빈트너스 리저브 피노누아,KENDALL JACKSON VINTNER`S RESERVE PINOT NOIR,Red,미국,"미국, 캘리포니아",잭슨 패밀리 와인,14.5%,피노누아(PINOT NOIR) 100%,,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2668
26,리치텔리 헤이 말벡,RICCITELLI HEY MALBEC,Red,아르헨티나,"Uco Valley, Lujan de Cuyo",리치텔리 (Matías Riccitelli),14.5%,말벡 (Malbec) 100%,"25,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2576
27,보헤미안,BOHEMIAN,Sweet,이탈리아,피에몬테,,,람부르스코,,,https://www.winenara.com/goods/goods_view.php?goodsNo=1833
28,콘투고,GUADO AL TASSO CONT'UGO,Red,이탈리아,"토스카나, 볼게리",안티노리 (Antinori),14.5%,메를로 (Merlot) 100%,"80,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1635
29,닥터루젠 블루 슬레이트 리슬링 드라이,DR. LOOSEN BLUE SLATE RIESLING DRY,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,-,리슬링 (RIESLING) 100%,"27,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2607
30,젠틀맨즈 컬렉션 샤르도네,GENTLEMAN'S COLLECTION CHARDONNAY,White,호주,"호주, 동남부 지역 (South Eastern Australia)",린드만 (Lindeman’s),13.9%,샤르도네 (Chardonnay),"40,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1421
31,프리마크 아비 카베르네 소비뇽,FREEMARK ABBEY CABERNET SAUVIGNON,Red,미국,"캘리포니아, 나파 밸리",잭슨 패밀리 와인,13.5%,"까베르네 소비뇽 (Cabernet Sauvignon) 76.2%, 메를로 (Merlot) 18.8%, 까베르네 프랑 (Cabernet Franc) 2.7% 쁘띠 베르도 (Petit Verdot) 1.3%,말벡 (Malbec) 1%","150,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=924
