,이름,영문이름,종류,나라,생산지,제조사,알코올도수,포도품종,가격,평점,주소
169,폴 당장 뀌베 카르트 블랑쉬,PAUL DANGIN CUVEE CARTE BLANCHE,Champagne,프랑스,상파뉴(Champagne),당장 & 필스 (Dangin & Fils),12%,샤르도네 (Chardonnay) 100%,"70,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1952
170,피안 델레 비네 로쏘 디 몬탈치노,PIAN DELLE VIGNE ROSSO DE MONTALCINO,Red,이탈리아,"토스카나, 몬탈치노",안티노리,14%,산지오베제 100%,,3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1893
171,엠,M,Sweet,이탈리아,피에몬테,,,모스카토,,,https://www.winenara.com/goods/goods_view.php?goodsNo=1867
172,샤또 벨뷰 피작,CHATEAU BELLEVUE FIGEAC,Red,프랑스,쌩떼밀리옹,율리스 카자본,13%,"메를로 85%, 카베르네 프랑 10%, 카베르네 소비뇽 5%",,3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1847
173,락베어 맥라렌 쉬라즈,ROCKBARE MCLAREN SHIRAZ,Red,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인즈,-,쉬라즈 100%,,3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1767
174,아콩카구아 코스타 피노누아,ACONCAGUA COSTA PINOT NOIR,Red,칠레,아콩카구아 코스타,비냐 에라주리즈 (Vina Errazuriz),-,피노누아 100%,"70,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1648
175,시가 박스 카베르네 소비뇽,CIGAR BOX CABERNET SAUVIGNON,Red,칠레,마이포 밸리 (Maipo Valley),시가 박스 와인 (Cigar Box Wine),13.5%,카베르네소비뇽(Cabernet Sauvignon) 100%,"25,000원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1591
176,마르쿠스 몰리터 알테 레벤 자르 리슬링(화이트),Markus Molitor Alte Reben Saar,White,독일,모젤,마르쿠스 몰리터 (Markus Molitor),12%,리슬링 (Riesling) 100%,"65,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1486
177,블랙타워 스파클링 아이스 로제,BLACK TOWER ICE ROSE,Rose,독일,유럽 커뮤니티 (European Community),레 켄더만 바인켈러라이(Reh Kendermann Weinkellerei),11%,템프라니요 100%,"19,900원",3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1484
178,마르케제 안티노리 콘테사 마지,MARCHESE ANTINORI CONTESSA MAGGI,Sparkling,이탈리아,프란치아코르타 (Franciacorta),안티노리 (Antinori),12.5%,"샤르도네 (Chardonnay) 75%, 피노 누아 (Pinot Noir) 25%","84,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1456
179,샤또 꾸엥스-뤼통 레드,CHATEAU COUHINS LURTON RED,Red,프랑스,"프랑스, 보르도, 뻬삭 레오냥",앙드레 뤼통 (Andre Lurton),12.5%,"메를로(Merlot) 75%, 까베르네 소비뇽(Cabernet Sauvignon) 25%","120,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1433
180,블랙타워 클래식 리슬링,BLACK TOWER CLASSIC RIESLING,White,독일,"독일, 팔츠 (Pfalz)",레이 켄더만 바인켈러하이(Reh Kendermann Weinkellerei),12%,리슬링 (Riesling) 100%,"12,900원",3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1432
181,블랙타워 돈펠더 피노누아,BLACK TOWER DORNFELDER PINOT NOIR,Red,독일,"독일, 팔라티네이트(Palatinate)",레이 켄더만 바인켈러하이(Reh Kendermann Weinkellerei),5.5%,피노 누아 (Pinot Noir) 100%,"14,900원",3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1431
182,글로리오소 리오하 레세르바,GLORIOSO RIOJA RESERVA,Red,스페인,리오하,보데가스 팔라치오,14%,템프라니요(Tempranillo) 100%,,3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1184
183,에라주리즈 에스테이트 카르메네르,ERRAZURIZ ESTATE CARMENERE,Red,칠레,라펠 밸리,비냐 에라주리즈,13.5%,까르메네르 (Carmenere) 100%,"17,900원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1033
184,맥스 리제르바 카르메네르,MAX RESERVA CARMENERE,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,14%,까르메네르 (Carmenere) 100%,,3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1031
185,아방트 샤르도네,AVANT CHARDONNAY,White,미국,캘리포니아,잭슨 패밀리 와인,13.5%,샤르도네(Chardonnay) 100%,"35,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=831
186,샤또 라 루비에르 레드,CHATEAU LA LOUVIERE RED,Red,프랑스,"보르도, 빼삭 레오냥",앙드레 뤼통,12.5%,"까베르네 소비뇽(Cabernet Sauvignon) 64%, 메를로(Merlot) 30%, 까베르네 프랑(Cabernet Franc) 3%, 쁘띠 베르도(Petit Verdot) 3%","150,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=753
187,도멘 드 마르꾸 샤또 네프 뒤 빠쁘,DOMAINE DE MARCOUX CHATEAUNEUF DU PAPE,Red,프랑스,"꼬뜨 뒤 론, 남부 론, 샤또네프 뒤 빠쁘",도멘 드 마르꾸,15%,"그르나슈 (Grenache) 74%, 무르베드르 (Mourvedre) 14%, 시라 (Syrah) 9%,쌩소 (Cinsault) 3%","180,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=747
188,체르바로 2019,CERVARO,White,이탈리아,"움브리아,오르비에토",안티노리,13%,"샤르도네 (Chardonnay) 85%, 그레케토 (Grechetto) 15%","180,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=581
189,루이 라뚜르 알록스 꼬똥,LOUIS LATOUR ALOXE CORTON,Red,프랑스,"부르고뉴, 꼬뜨 드 본, 알록스 꼬똥",루이 라뚜르,13.5%,피노누아(Pinot Noir) 100%,"150,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=531
190,루이 부요 크레망 드 부르고뉴 로제,LOUIS BOUILLOT CREMANT DE BOURGOGNE ROSE,Rose,프랑스,"프랑스,부르고뉴",루이 부요(Louis Bouillot),12.5%,"샤르도네(CHARDONNAY),가메(GAMAY), 피노 누아(PINOT NOIR)","39,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2780
191,폴 당장 트레디시옹 밀레짐 2014,PAUL DANGIN TRADITION MILLESIME 2014,Champagne,프랑스,상파뉴,SARL DANGIN,12%,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY)","80,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2728
192,[하프와인] 알파카 카베르네 메를로,ALPACA CABERNET MERLOT,Red,칠레,센트럴 밸리,VSPT,13%,"카베르네 소비뇽(Cabernet Sauvignon) 70%, 메를로(Merlot) 30%","8,900원",2.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2706
193,퍼스트 드랍 더 크림 쉬라즈,FIRST DROP THE CREAM SHIRAZ,Red,호주,바로사밸리,FIRST DROP WINES,13%,쉬라즈(SHIRAZ) 100%,"280,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2694
194,커치 팔스타프 빈야드 소노마 코스트 피노누아,KUTCH FALSTAFF VINEYARD SONOMA COAST PINOT NOIR,Red,미국,"미국, 캘리포니아 소노마",Kutch Wines,12.5%,피노누아 (PINOT NOIR) 100%,"130,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2664
195,닥터루젠 리슬링,DR. LOOSEN RIESLING,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,-,리슬링 (RIESLING) 100%,"18,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2654
196,마푸 소비뇽 샤르도네,MAPU SAUVIGNON CHARDONNAY,White,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 칠레,13%,"소비뇽 블랑(SAUVIGNON BLANC) 80% , 샤르도네(CHARDONNAY) 20%","19,000원",3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2634
197,리아논 레드 블렌드,Rhiannon Red Blend,Red,미국,"캘리포니아, 로다이 (California, Lodi)",러더포드 와인 컴퍼니,13.5도,"쁘띠 쉬라 57%, 쉬라 37%, 바르베라 3%","50,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2583
198,제나토 소아베 클라시코,ZENATO SOAVE CLASSICO DOC,White,이탈리아,베네토,제나토,13.5%,"가르가네가 70%, 샤르도네 30%","22,000원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2047
199,[미니와인] 브리 로제 피노 누아,BREE ROSE PINOT NOIR,Rose,독일,독일,피너 메르테스,11%,피노 누아 100%,,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2018
200,[미니와인] 브리 화이트 샤르도네,BREE WHITE CHARDONNAY,White,독일,독일,피터 메르테스,12%,샤르도네 100%,,3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2017
201,하트포드 코트 랜즈 엣지 피노누아,HARTFORD COURT LANDS EDGE PINOT NOIR,Red,미국,"캘리포니아, 소노마, 러시안 리버 밸리",하트포드 패밀리 와이너리,14.9%,피노 누아 100%,,4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1894
202,프레지던트 초이스 스페셜 셀렉션,PRESIDENT'S CHOICE SPECIAL SELECTION,Red,칠레,센트럴 밸리,,,"카베르네 소비뇽, 메를로",,,https://www.winenara.com/goods/goods_view.php?goodsNo=1890
203,산타 크리스티나 키안티 수페리오레,SANTA CRISTINA CHIANTI SUPERIORE,Red,이탈리아,토스카나,산타 크리스티나 / 안티노리,13%,산지오베제 외 토착품종 블렌딩,"32,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1844
204,락베어 바로사밸리 쉬라즈,ROCKBARE BAROSSA VALLEY SHIRAZ,Red,호주,"남호주, 바로사밸리",잭슨 패밀리 와인즈,14.5%,쉬라즈 100%,,4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1810
205,락베어 클레어 밸리 리슬링,ROCKBARE CLAREVALLEY RIESLING,White,호주,"남호주, 클레어 밸리, 워터베일",잭슨 패밀리 와인즈,12.5%,리슬링 100%,,3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1771
206,라 샤펠 고르돈느 로제,LA CHAPELLE GORDONNE ROSE,Rose,프랑스,프로방스,샤또 라 고르돈느 (Chateau La Gordonne),13.5%,"그르나슈 (Grenache), Syrah (쉬라), Cinsault (쌩소)","55,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1550
207,쿠네 리오하 그란 레세르바,CUNE RIOJA GRAN RESERVA,Red,스페인,리오하 알타,쿠네 (CVNE),13.5%,"템프라니요 (Tempranillo) 85%, 그라시아노 (Graciano) 10%, 마주엘로 (Mazuelo)15%","80,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1513
208,본테라 메를로,BONTERRA MERLOT,Red,미국,"캘리포니아, 멘도치노 카운티",펫져 (Fetzer) /소유주 : 칠레 콘차 이 토로 (Concha y Toro),14.6%,"메를로, 그르나슈, 시라, 말벡","50,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1496
209,파이퍼 하이직 로제 소바쥬,PIPER HEIDSIECK ROSE SAUVAGE BRUT,Champagne,프랑스,샴페인,파이퍼 하이직,12%,"피노 누아 (Pinot Noir), 피노 므니에 (Pinot Meunier)","95,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=1146
210,레 로까이,LES ROCAILLES,Red,프랑스,보르도,앙드레 뤼통,12.5%,"까베르네 소비뇽(Cabernet Sauvignon) 50%, 메를로(Merlot) 50%",,3.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1099
211,루이 라뚜르 제브리 샹베르땡,LOUIS LATOUR GEVREY CHAMBERTIN,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘-제브리 샹베르땡",루이 라뚜르,13%,피노 누아 (Pinot Noir) 100%,"190,000원",4.0,https://www.winenara.com/goods/goods_view.php?goodsNo=1022
212,산타 크리스티나 피노 그리지오,SANTA CRISTINA PINOT GRIGIO,White,이탈리아,프리울리 베네치아 쥴리아 & 베네토,"산타 크리스티나, 안티노리",11.5%,피노 그리지오(Pinot Grigio) 100%,"22,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=837
213,캔달 잭슨 그랑 리저브 샤르도네,KENDALL JACKSON GRAND RESERVE CHARDONNAY,White,미국,"캘리포니아, 산타바바라 카운티, 몬테레이 카운티",잭슨 패밀리 와인,13.5%,샤르도네 (Chardonnay) 100%,"80,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=834
214,아콩카구아 코스타 시라,ACONCAGUA COSTA SYRAH,Red,칠레,아콩카구아 코스타,비냐 에라주리즈,13.5%,시라(Syrah) 100%,"70,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=539
215,베라짜노 키안티 클라시코,VERRAZZANO CHIANTI CLASSICO,Red,이탈리아,토스카나-키안티 클라시코,카스텔로 디 베라짜노,14.5%,"산지오베제,까나이올로","48,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=528
216,프루노토 랑게 아르네이스,PRUNOTTO LANGHE ARNEIS,White,이탈리아,피에몬테,프루노토 / 안티노리,13%,아르네이스(ARNEIS) 100%,,3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2871
217,알파박스 앤 다이스 타로 프로세코,ALPHA BOX AND DICE TAROT PROSECCO,Sparkling,호주,맥라렌 베일,알파 박스 & 다이스,11%,프로세코(PROSECCO) 100%,"25,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2807
218,[미니와인] 클림트 키스 뀌베 브뤼,KLIMT KISS CUVEE BRUT,Sparkling,기타 구대륙,오스트리아 (Austria),슐럼베르거 ( Schlumberger ),11.5%,"웰치리슬링(Welschriesling), 피노블랑( Pinot blanc),샤르도네(Chardonnay)","12,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=2790
219,라 마스코타 스파클링 로제 엑스트라 브뤼,LA MASCOTA SPARKLING ROSE EXTRA BRUT,Sparkling,아르헨티나,-,Penaflor,-,피노누아(PINOT NOIR) 100%,"27,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2732
220,리지니 브루넬로 디 몬탈치노 리제르바,LISINI BRUNELLO DI MONTALCINO RISERVA,Red,이탈리아,"이태리, 토스카나",AZIENDA LISINI,14.5%,산지오베제 (Sangiovese) 100%,"230,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2658
221,하디스 HRB 쉬라즈,HARDYS HRB SHIRAZ,Red,호주,"호주, 남호주",하디스 (Hardys),-,쉬라즈(SHIRAZ) 100%,"70,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=2617
222,닥터루젠 에르데네 프랄라트 리슬링 드라이 리저브 GG,DR. LOOSEN ERDENER PRALAT RIESLING DRY GG RESERVE,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,-,리슬링 (RIESLING) 100%,"350,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2611
223,베이 오브 파이어 피노누아,Bay of Fires Pinot Noir,Red,호주,타즈매니아,,,피노 누아(Pinot Noir) 100%,"45,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2600
224,와일드얼스 리슬링,WILD EARTH RIESLING,White,뉴질랜드,"센트럴 오타고, 뉴질랜드",Wild earth,13%,리슬링,"45,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2568
225,[미니와인] 푸두 카베르네 소비뇽 쉬라즈,PUDU CABERNET SAUVIGNON SHIRAZ,Red,칠레,센트럴 밸리,,,"카베르네 소비뇽(51%) , 쉬라즈(49%)","5,200원",,https://www.winenara.com/goods/goods_view.php?goodsNo=2011
226,바독 레드 블렌드,BAR DOG RED BLEND,Red,미국,캘리포니아,바 독,13.5%,"메를로 86%, 카베르네 소비뇽 10%, 쉬라 4%","32,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1938
227,엠 로제,M ROSE,Rose,이탈리아,피에몬테,산테로,3%,"모스카토, 브라케토",,2.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1866
228,[더블매그넘]보타 박스 샤르도네,BOTA BOX CHARDONNAY,White,미국,캘리포니아,델리카토 패밀리,13%,샤르도네 100%,,3.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1831
229,발베란 20 만자나스,VALVERAN 20 MANZANAS,White,스페인,사리에고,"마사보 보데가스, 발베란",9.5%,토착품종 사과,,4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1824
230,마셋 가르나챠,MASET GARNATXA,Red,스페인,카탈루냐 DO,마셋,14%,가르나챠 100%,,3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1778
231,"프리오라트 아트 컬렉션 '11, '12, '13",PRIORAT ART COLLECTION,Red,스페인,프리오라트,,,-,,,https://www.winenara.com/goods/goods_view.php?goodsNo=1754
232,모리스 가비네 상뜨네 레 샤르메,MAURICE GAVIGNET SANTENAY LES CHARMES,Red,프랑스,"부르고뉴, 상뜨네",,,피노 누아 100%,"69,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1678
233,시가 박스 피노누아,CIGAR BOX PINOT NOIR,Red,칠레,카사블랑카 밸리 (Casablanca Valley),,,피노 누아 (Pinot Noir) 100%,"25,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1592
234,시가 박스 말벡,CIGAR BOX MALBEC,Red,칠레,멘도사 (Mendoza),시가 박스 와인 (Cigar Box Wine),13.5%,말벡 (Malbec) 100%,"25,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1590
235,보리우 빈야드(BV) 캘리포니아 샤르도네,BV CALIFORNIA CHARDONNAY,White,미국,캘리포니아,보리우 빈야드 (Beaulieu Vineyards),13.78%,샤르도네 (Chardonnay),"35,000원",3.6,https://www.winenara.com/goods/goods_view.php?goodsNo=1489
236,에스쿠도 로호 리제르바 카베르네 소비뇽,ESCUDO ROJO RESERVA CABERNET SAUVIGNON,Red,칠레,마이포 밸리,바롱 필립 드 로칠드 마이포 칠레,14%,까베르네 소비뇽(Cabernet Sauvignon) 100%,"34,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1152
237,양가라 올드바인 그르나슈,YANGARRA OLD VINE GRENACHE,Red,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인,14.5%,그르나슈 (Grenache) 100%,"65,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=1129
238,맥스 리제르바 샤르도네,MAX RESERVA CHARDONNAY,White,칠레,아콩카구아 밸리,비냐 에라주리즈,13.5%,샤르도네 (Chardonnay) 100%,"35,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=967
239,에라주리즈 에스테이트 카베르네 소비뇽,ERRAZURIZ ESTATE CABERNET SAUVIGNON,Red,칠레,"아콩카구아 밸리, 마이포 밸리",비냐 에라주리즈,13.5%,까베르네 소비뇽 (Cabernet Sauvignon) 100,"17,500원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=833
240,캔달 잭슨 그랑 리저브 카베르네 소비뇽,KENDALL JACKSON GRAND RESERVE CABERNET SAUVIGNON,Red,미국,"캘리포니아, 소노마 코스트",잭슨 패밀리 와인,13.5%,"까베르네 소비뇽 (Cabernet Sauvignon) 94.8%, 쁘띠 베르도 (Petit Verdot) 4.4%, 메를로 (Merlot) 0.5%, 까베르네 프랑 (Cabernet Franc) 0.2%","95,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=809
241,프루노토 부시아 바롤로,PRUNOTTO BUSSIA BAROLO,Red,이탈리아,"피에몬테, 바롤로",프루노토/ 안티노리,14%,네비올로(Nebbiolo) 100%,"150,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=641
242,루이 라뚜르 뿌이 퓌세,LOUIS LATOUR POUILLY FUISSE,White,프랑스,"부르고뉴, 마꼬네, 뿌이 퓌세",루이 라뚜르,12.5%,샤르도네 (Chardonnay) 100%,"72,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=518
243,에쿠스 카베르네 소비뇽,EQUUS CABERNET SAUVIGNON,Red,칠레,마이포 밸리,하라스 데 피르케,14%,"까베르네 소비뇽(Carbernet Sauvignon) 90%, 시라(Syrah) 10%","25,900원",3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=501
244,에라주리즈 에스테이트 샤르도네,ERRAZURIZ ESTATE CHARDONNAY,White,칠레,카사블랑카 밸리,비냐 에라주리즈,13%,샤르도네(CHARDONNAY) 100%,"17,500원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2958
245,카스텔로 데이 람폴라 사마르코,CASTELLO DEI RAMPOLLA SAMMARCO,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),14.5%,"카베르네 소비뇽(CABERNET SAUVIGNON) 90%, 산지오베제(SANGIOVESE) 10%","190,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2953
246,카스텔로 데이 람폴라 달체오,CASTELLO DEI RAMPOLLA D'ALCEO,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),14.5%,"카베르네 소비뇽(CABERNET SAUVIGNON) 85%, 산지오베제(SANGIOVESE) 15%","350,000원",4.4,https://www.winenara.com/goods/goods_view.php?goodsNo=2952
247,마스 가비넬 하히심,MAS GABINELE RARISSIME,Red,프랑스,남프랑스,마스 가비넬(MAS GABINELE),15%,"시라(SYRAH)70%, 그르나슈(GRENACHE)25%, 무드베드르(MOURVEDRE) 5%","90,000원",4.2,https://www.winenara.com/goods/goods_view.php?goodsNo=2925
248,마쎄리아 도피오 파쏘 아파씨멘토,MASSERIA DOPPIO PASSO APPASSIMENTO,Red,이탈리아,풀리아,마쎄리아 도피오 파쏘(Masseria Doppio Passo),14.5%,"네그로 아마로(NEGROAMARO)80%, 말바지아(MALVASIA)10%, 메를로(MERLOT)10%","27,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2903
249,알파박스 앤 다이스 솔라,ALPHA BOX AND DICE XOLA,Red,호주,"호주, 남호주, 맥라렌 베일",알파박스&다이스 (ALPHA BOX AND DICE),14.2%,알리아니코(AGLIANICO) 100%,"49,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2783
250,에스프리 드 생 피에르,ESPRIT DE SAINT PIERRE,Red,프랑스,"프랑스,보르도,생-쥴리앙",샤또 생 피에르(Chateau Saint-Pierre),13.5%,"카베르네 소비뇽 (CABERNET SAUVIGNON) 75% , 메를로(MERLOT) 15% , 카베르네 프랑(CABERNET FRANC) 10%","75,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2776
251,쇼 앤 스미스 피노누아,SHAW AND SMITH M3 PINOT NOIR,Red,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,12.5%,피노누아 (PINOT NOIR) 100%,"59,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2749
252,앤젤린 캘리포니아 샤르도네,ANGELINE CALIFORNIA CHARDONNAY,White,미국,"미국, 캘리포니아",MARTIN RAY and ANGELINE WINERY,13.5%,샤르도네(CHARDONNAY) 100%,"21,900원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=2746
253,벡스 리슬링,BEX RIESLING,White,독일,"독일, 나헤",Wineland GmbH,11.5%,리슬링(RIESLING) 100%,"9,900원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2742
254,룩벨레어 럭스 팬텀,LUC BELAIRE LUXE RARE BOUTEILLE,Sparkling,프랑스,-,룩 벨레어(Luc Belaire),-,샤르도네(Chardonnay) 100%,"88,000원",3.8,https://www.winenara.com/goods/goods_view.php?goodsNo=2733
255,포르테주엘로 빈야드 로트 68 카리냥,PORTEZUELO VINEYARD LOT 68 CARIGNAN,Red,칠레,센트럴밸리,가라지와인(Garage Wine Co.),13.7%,"카리냥(CARIGNAN) 87%, 생소(CINSAULT) 13%","80,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2675
256,산 텔모 샤르도네,SAN TELMO CHARDONNAY,White,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),13.7%,샤르도네(CHARDONNAY) 100%,"12,900원",3.3,https://www.winenara.com/goods/goods_view.php?goodsNo=2621
257,하트포드 코트 러시안 리버 밸리 샤르도네,Hartford Court Russian River Valley Chardonnay,White,미국,"소노마, 러시안 리버 밸리",잭슨 패밀리 와인,14.5%,샤르도네 100%,,4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2582
258,리치텔리 데 라 카사 틴토,RICCITELLI DE LA CASA TINTO,Red,아르헨티나,Mendoza,리치텔리 (Matías Riccitelli),14%,말벡 100%,"49,000원",4.1,https://www.winenara.com/goods/goods_view.php?goodsNo=2580
259,[매그넘와인]캔달 잭슨 빈트너스 리저브 샤르도네,KENDALL JACKSON VINTNER'S RESERVE CHARDONNAY,White,미국,캘리포니아,잭슨 패밀리 와인,13.5%,샤르도네 (Chardonnay) 100%,"110,000원",3.9,https://www.winenara.com/goods/goods_view.php?goodsNo=2020
260,소피 바롱 그랑 리저브 브뤼,SOPHIE BARON GRANDE RESERVE BRUT,Champagne,프랑스,샹파뉴,바롱 퓌엔터 CHAMPAGNE BARON FUENTE,12%,"피노 뮈니에(PINOT MEUNIER) 60%, 샤르도네(CHARDONNAY) 30%, PINOT NOIR(피노누아) 10%","45,000원",3.7,https://www.winenara.com/goods/goods_view.php?goodsNo=1940
261,티터 토터 카베르네 쇼비뇽,TEETER TOTTER CABERNET SAUVIGNON,Red,미국,"캘리포니아, 나파 밸리",펫 맹 와인즈,14.1%,카베르네 쇼비뇽 100%,"180,000원",4.3,https://www.winenara.com/goods/goods_view.php?goodsNo=1916
262,칠카스 샤르도네,CHILCAS CHARDONNAY,White,칠레,마울레 밸리,칠카스,14.3%,샤르도네 100%,,3.2,https://www.winenara.com/goods/goods_view.php?goodsNo=1873
263,칠카스 리제르바 카베르네 소비뇽,CHILCAS RESERVA CABERNET SAUVIGNON,Red,칠레,"콜차구아 코스타, 롤로",칠카스,14.2%,"카베르네 소비뇽 91%, 카베르네 프랑 6%, 쁘띠 베르도 3%",,3.4,https://www.winenara.com/goods/goods_view.php?goodsNo=1872
264,에 빔 무엘루,ET BIM MOELLEUX,White,프랑스,"남서부, 꼬뜨 드 가스꼬뉴",,,그로 망상 100%,"20,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1681
265,에 빔 루즈,ET BIM ROUGE,Red,프랑스,"남서부, 꼬뜨 드 가스꼬뉴",Castets Family,-,"메를로, 카베르네 소비뇽, 타낫","20,000원",3.1,https://www.winenara.com/goods/goods_view.php?goodsNo=1680
266,샤또 라 프랑스 델 옴므 메독CB,CH. LA FRANCE DEL HOMME,Red,프랑스,"보르도, 메독",,,메를로 (Merlot) 100%,"45,000원",,https://www.winenara.com/goods/goods_view.php?goodsNo=1569
267,닥터 린드만 빈50 쉬라즈,LINDEMAN'S BIN 50 SHIRAZ,Red,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),13.5%,쉬라즈 (Shiraz),"20,000원",3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1382
268,쿠네 리오하 크리안자,CUNE RIOJA CRIANZA,Red,스페인,리오하 알타,쿠네,13.5%,"템프라니요 (Tempranillo) 80%, 가르나차 틴타 (Garnacha Tinta) 10%, 마주엘로 (Mazuelo) 10%",,3.5,https://www.winenara.com/goods/goods_view.php?goodsNo=1259
